agent,variant_id,latent_steps,n,ok_rate,score_mean,score_std,cliche_rate,gate_pass_rate,n_distinct_hypotheses,observable_rate,parse_rate,variety_families
consistency,consistency__authored_claude_latentpaper__88133558d50d,0,5,1.0,0.5,0.0,,,,,,
consistency,consistency__git_judger_only__e3954dbf4776,0,5,1.0,0.5,0.0,,,,,,
consistency,consistency__git_latentmas_foundation__d9d9d31fed6e,0,5,1.0,0.5,0.0,,,,,,
consistency,consistency__working__ba2052a203a9,0,5,1.0,0.5,0.0,,,,,,
consistency,consistency__authored_claude_latentpaper__88133558d50d,10,5,1.0,0.5,0.0,,,,,,
consistency,consistency__git_judger_only__e3954dbf4776,10,5,1.0,0.5,0.0,,,,,,
consistency,consistency__git_latentmas_foundation__d9d9d31fed6e,10,5,1.0,0.5,0.0,,,,,,
consistency,consistency__working__ba2052a203a9,10,5,1.0,0.5,0.0,,,,,,
consistency,consistency__authored_claude_latentpaper__88133558d50d,20,5,1.0,0.5,0.0,,,,,,
consistency,consistency__git_judger_only__e3954dbf4776,20,5,1.0,0.5,0.0,,,,,,
consistency,consistency__git_latentmas_foundation__d9d9d31fed6e,20,5,1.0,0.5,0.0,,,,,,
consistency,consistency__working__ba2052a203a9,20,5,1.0,0.5,0.0,,,,,,
consistency,consistency__authored_claude_latentpaper__88133558d50d,40,5,1.0,0.5,0.0,,,,,,
consistency,consistency__git_judger_only__e3954dbf4776,40,5,1.0,0.5,0.0,,,,,,
consistency,consistency__working__ba2052a203a9,40,5,1.0,0.5,0.0,,,,,,
consistency,consistency__authored_claude_latentpaper__88133558d50d,60,5,1.0,0.5,0.0,,,,,,
consistency,consistency__git_judger_only__e3954dbf4776,60,5,1.0,0.5,0.0,,,,,,
consistency,consistency__git_judger_only__e3954dbf4776,80,5,1.0,0.5,0.0,,,,,,
consistency,consistency__git_latentmas_foundation__d9d9d31fed6e,80,5,1.0,0.5,0.0,,,,,,
consistency,consistency__authored_claude_latentpaper__88133558d50d,80,5,0.6,0.3,0.245,,,,,,
consistency,consistency__git_latentmas_foundation__d9d9d31fed6e,40,5,0.0,0.0,0.0,,,,,,
consistency,consistency__git_latentmas_foundation__d9d9d31fed6e,60,5,0.0,0.0,0.0,,,,,,
consistency,consistency__working__ba2052a203a9,60,5,0.0,0.0,0.0,,,,,,
consistency,consistency__working__ba2052a203a9,80,5,0.0,0.0,0.0,,,,,,
construct,construct__working__56396e7d44b0,0,5,1.0,0.8,0.4,,0.8,0,,0.8,3
construct,construct__git_stepwise_final__f4d2fe4a0389,60,3,1.0,0.727,0.207,,0.455,1,,1.0,3
construct,construct__git_optimalisasi__e9a6a179b181,60,5,1.0,0.707,0.36,,0.693,4,,0.8,6
construct,construct__git_optimalisasi__e9a6a179b181,20,5,1.0,0.68,0.349,,0.8,4,,0.8,3
construct,construct__working__56396e7d44b0,40,5,1.0,0.653,0.295,,0.467,0,,1.0,5
construct,construct__working__56396e7d44b0,80,5,1.0,0.64,0.116,,0.6,0,,1.0,4
construct,construct__git_optimalisasi__e9a6a179b181,40,5,1.0,0.593,0.339,,0.467,4,,0.8,4
construct,construct__authored_claude_latentpaper__b35f877d9c40,20,5,1.0,0.547,0.307,,0.333,0,,1.0,4
construct,construct__git_gate_deterministik__5b2d525ce336,80,5,1.0,0.527,0.36,,0.333,0,,0.8,4
